,Day,SKU,Sold,Price,Cost,Status
0,2025-12-31,TD125060U,7,49.75,43.82,1
1,2025-12-31,TDWFP003,17,32.46,9.59,1
2,2025-12-31,TD125030U,30,13.26,3.48,1
3,2025-12-31,T172060U,9,17.61,7.17,1
4,2025-12-31,TDWFP002,60,33.86,23.15,1
5,2025-12-31,TDWFP006,18,14.39,9.52,1
6,2025-12-31,TDW2300,13,12.9,9.83,1
7,2025-12-31,TD250060U,58,49.94,29.87,1
8,2025-12-31,TDWFP008,33,45.39,12.37,1
9,2025-12-31,TDWFP021,8,38.1,8.81,1
10,2025-12-31,TDWFP009,9,11.95,5.79,1
11,2025-12-31,TD440060U,28,31.56,29.85,1
12,2025-12-31,TDWFP004,7,46.44,37.04,1
13,2025-12-31,TDWFP012,7,42.57,32.61,1
14,2025-12-31,TDWFP019,15,10.87,2.22,1
15,2025-12-31,TDWFP020,10,48.09,28.37,1
16,2025-12-31,TDWFP022,12,43.51,7.48,1
17,2025-12-31,TDWFP010,93,43.28,30.23,1
18,2025-12-31,TD250120U,14,43.48,34.45,1
19,2025-12-31,TD360060U,9,49.93,25.28,1
20,2025-12-31,TDWFP007,24,49.93,7.79,1
21,2025-12-31,TDW2075,17,18.98,4.13,1
22,2025-12-31,TDW0910,21,49.86,13.92,1
23,2025-12-31,TDWFP015,17,47.34,39.14,1
24,2025-12-31,TDW4680,28,33.04,1.56,1
25,2025-12-31,TDWFP014,1,35.79,22.5,1
26,2025-12-31,TDWFP001,74,43.92,11.16,1
27,2025-12-31,TDW3670,11,18.07,15.4,1
28,2025-12-31,TD527030U,13,19.57,10.02,1
29,2025-12-31,TDWFP016,6,22.8,20.75,1
30,2025-12-31,TDWFP024,19,17.18,1.27,1
31,2025-12-31,TDWFP011,24,25.3,14.13,1
32,2025-12-30,TD250120U,37,43.48,34.45,1
33,2025-12-30,TDWFP022,40,43.51,7.48,1
34,2025-12-30,TDWFP015,68,47.34,39.14,1
35,2025-12-30,TDWFP010,188,43.28,30.23,1
36,2025-12-30,TD125060U,15,49.75,43.82,1
37,2025-12-30,TDW3670,34,18.07,15.4,1
38,2025-12-30,TDWFP020,37,48.09,28.37,1
39,2025-12-30,TD360060U,13,49.93,25.28,1
40,2025-12-30,TDWFP019,32,10.87,2.22,1
41,2025-12-30,TDW4680,75,33.04,1.56,1
42,2025-12-30,TDW0910,41,49.86,13.92,1
43,2025-12-30,TDWFP012,23,42.57,32.61,1
44,2025-12-30,TDWFP004,18,46.44,37.04,1
45,2025-12-30,TD440060U,26,31.56,29.85,1
46,2025-12-30,TD527030U,12,19.57,10.02,1
47,2025-12-30,TDWFP009,22,11.95,5.79,1
48,2025-12-30,TDWFP011,32,25.3,14.13,1
49,2025-12-30,TD125030U,21,13.26,3.48,1
50,2025-12-30,T172060U,15,17.61,7.17,1
51,2025-12-30,TDWFP024,84,17.18,1.27,1
52,2025-12-30,TDWFP002,136,33.86,23.15,1
53,2025-12-30,TDW2075,25,18.98,4.13,1
