,SKU,Freshness_window
0,TD125060U,548
1,TD360060U,548
2,TDW4680,365
3,TD250120U,365
4,T172060U,1095
5,TD250060U,365
6,TDWFP003,1095
7,TDWFP010,365
8,TDWFP020,548
9,TDW0910,365
10,TDWFP002,548
11,TDWFP008,730
12,TDWFP011,1095
13,TDWB003,1095
14,TDWFP016,548
15,TDWFP012,1095
16,TDWFP019.1,548
17,TDWFP021,1095
18,GYGR002,365
19,TDW2300,548
20,TD524120U,365
21,TD527030U,365
22,TDWFP015,730
23,TD482060U,730
24,TDW2075,730
25,TDWFP024,548
26,TD760030U,730
27,TDWFP001,1095
28,TD266060U,730
29,TDWFP004,1095
30,TDWFP007,365
31,GYGR001,1095
32,TD529060U,730
33,TD440060U,1095
34,TDWFP006,548
35,TDW3670,548
36,TDWM001,730
37,TDWFP019,548
38,TD578060U,548
39,TD525060U,548
40,TD718060U,1095
41,TDWFP009,548
42,TD559060U,548
43,TD125030U,1095
44,TD523120U,548
45,TDWFP022,365
46,TDWFP012.1,548
47,TD918060U,365
48,TD145060U,548
49,TDWB004,365
50,TD635060U,1095
51,TDWFP005,365
52,TD128090U,548
53,TDWFP014,548
54,TDWFP017,1095
55,TDWB018,548
56,TDWG001,548
57,TDWFP023,548
58,TDWB019,1095
59,TDWG002,1095
60,TD485060U,1095
61,TDWG003,1095
