,SKU,MOQ
0,TD125060U,500
1,TD360060U,500
2,TDW4680,500
3,TD250120U,10000
4,T172060U,500
5,TD250060U,10000
6,TDWFP003,5000
7,TDWFP010,500
8,TDWFP020,500
9,TDW0910,1000
10,TDWFP002,2500
11,TDWFP008,1000
12,TDWFP011,10000
13,TDWB003,5000
14,TDWFP016,5000
15,TDWFP012,1000
16,TDWFP019.1,10000
17,TDWFP021,2500
18,GYGR002,500
19,TDW2300,5000
20,TD524120U,10000
21,TD527030U,2500
22,TDWFP015,10000
23,TD482060U,2500
24,TDW2075,2500
25,TDWFP024,10000
26,TD760030U,5000
27,TDWFP001,1000
28,TD266060U,1000
29,TDWFP004,500
30,TDWFP007,5000
31,GYGR001,1000
32,TD529060U,2500
33,TD440060U,1000
34,TDWFP006,5000
35,TDW3670,500
36,TDWM001,10000
37,TDWFP019,1000
38,TD578060U,500
39,TD525060U,500
40,TD718060U,10000
41,TDWFP009,500
42,TD559060U,1000
43,TD125030U,1000
44,TD523120U,5000
45,TDWFP022,1000
46,TDWFP012.1,500
47,TD918060U,1000
48,TD145060U,1000
49,TDWB004,500
50,TD635060U,500
51,TDWFP005,5000
52,TD128090U,5000
53,TDWFP014,500
54,TDWFP017,10000
55,TDWB018,5000
56,TDWG001,1000
57,TDWFP023,5000
58,TDWB019,2500
59,TDWG002,5000
60,TD485060U,1000
61,TDWG003,5000
