,SKU,Units per pallet
0,TD125060U,912
1,TD360060U,1350
2,TDW4680,150
3,TD250120U,448
4,T172060U,360
5,TD250060U,1248
6,TDWFP003,960
7,TDWFP010,384
8,TDWFP020,1152
9,TDW0910,336
10,TDWFP002,1183
11,TDWFP008,600
12,TDWFP011,1872
13,TDWB003,1260
14,TDWFP016,880
15,TDWFP012,800
16,TDWFP019.1,1920
17,TDWFP021,680
18,GYGR002,594
19,TDW2300,330
20,TD524120U,585
21,TD527030U,1344
22,TDWFP015,780
23,TD482060U,504
24,TDW2075,660
25,TDWFP024,510
26,TD760030U,432
27,TDWFP001,432
28,TD266060U,1890
29,TDWFP004,360
30,TDWFP007,288
31,GYGR001,336
32,TD529060U,1584
33,TD440060U,1120
34,TDWFP006,980
35,TDW3670,420
36,TDWM001,1080
37,TDWFP019,2295
38,TD578060U,672
39,TD525060U,2052
40,TD718060U,784
41,TDWFP009,1470
42,TD559060U,850
43,TD125030U,275
44,TD523120U,1700
45,TDWFP022,1152
46,TDWFP012.1,972
47,TD918060U,1020
48,TD145060U,480
49,TDWB004,924
50,TD635060U,1260
51,TDWFP005,576
52,TD128090U,880
53,TDWFP014,660
54,TDWFP017,264
55,TDWB018,1260
56,TDWG001,675
57,TDWFP023,2850
58,TDWB019,1400
59,TDWG002,616
60,TD485060U,1540
61,TDWG003,1560
62,TDWFP028,2100
63,TDWFP029,432
64,TDWB020,360
65,TDWFP018,1008
66,TDWFP013,693
67,TDW4682,1188
68,TDWB022,1440
69,TDWB006,1512
70,TDWC005,594
71,TDWB021,1800
72,TDWB002,952
73,TDWB016,840
74,TDWB007,340
75,TDWB014,144
76,TDWT001,440
77,TDWT002,1080
78,TDWC004,380
79,TDWP004,630
80,TDWC009,560
81,TDWM002,1120
82,TDWC007,660
83,TDWC006,840
84,TDWFP002.1,576
85,TDWC011,1200
86,TDWT003,2100
87,TDWB008,156
88,TDWB013,800
89,TDWB011,1980
90,TDWB012,648
91,TDWC008,1530
92,TDWM003.1,360
93,TDWP010,1456
94,TDWM003.3,1260
95,TDWB009,1620
96,TDWM004.0,350
97,TDWB015,450
98,TDWP002,840
99,TDWP012,2400
100,TDWP015,810
101,TDWC010,546
102,TDWP001,648
103,TDWP011,1862
104,TDWM004.3,1188
105,TDWB017,1296
106,TDWFP001.1,1326
107,TDWP003,1008
108,TDWB010,520
109,TDWFP004.1,245
110,TDWM004.1,648
111,TDWM004.2,1820
112,TDWM003.2,144
113,TDWFP006.1,570
114,TDWFP022.1,264
115,TDWP014,1296
116,TDWFP008.1,648
