Day,Product variant SKU at time of sale,Net items sold
12/31/2025,TD125060U,2
12/31/2025,TD360060U,1
12/31/2025,TDW4680,10
12/31/2025,TD250120U,5
12/31/2025,T172060U,3
12/31/2025,TD250060U,7
12/31/2025,TDWFP028,35
12/31/2025,TDWFP029,8
12/31/2025,TDWFP003,16
12/31/2025,TDWFP010,61
12/31/2025,TDWFP020,1
12/31/2025,TDW0910,9
12/31/2025,TDWFP002,7
12/31/2025,TDWFP002,1
12/31/2025,TDWFP008,13
12/31/2025,TDWFP011,10
12/31/2025,TDWB020,11
12/31/2025,TDWB003,2
12/31/2025,TDWFP016,1
12/31/2025,TDWFP012,2
12/31/2025,TDWFP029,5
12/31/2025,TD250060U,44
12/31/2025,TDWFP019.1,8
12/31/2025,TDW0910,11
12/31/2025,TDWFP018,1
12/31/2025,TDWFP003,1
12/31/2025,TDWFP010,26
12/31/2025,TDWFP021,4
12/31/2025,GYGR002,1
12/31/2025,TDW4680,13
12/31/2025,TDWFP029,9
12/31/2025,TDW2300,7
12/31/2025,TD524120U,1
12/31/2025,TD250120U,7
12/31/2025,TDW4680,2
12/31/2025,TD527030U,5
12/31/2025,TDWFP002,26
12/31/2025,TDWFP015,4
12/31/2025,TDW0910,1
12/31/2025,TD482060U,1
12/31/2025,TDW2075,2
12/31/2025,TDWFP011,1
12/31/2025,TDWFP024,1
12/31/2025,TD760030U,1
12/31/2025,TDWFP001,31
12/31/2025,TD266060U,4
12/31/2025,TDWFP004,3
12/31/2025,TDWFP024,14
12/31/2025,TDWFP010,6
12/31/2025,TD360060U,5
12/31/2025,TDWFP012,3
12/31/2025,TDWB003,1
12/31/2025,T172060U,1
12/31/2025,TDWFP001,11
12/31/2025,TDWFP029,1
12/31/2025,TD360060U,3
12/31/2025,TDWFP007,1
12/31/2025,TDWFP012,2
12/31/2025,GYGR001,1
12/31/2025,TDWFP004,2
12/31/2025,TD529060U,2
12/31/2025,TD440060U,13
12/31/2025,TDWFP013,9
12/31/2025,TDW2075,15
12/31/2025,TDWFP006,14
12/31/2025,TDWFP024,4
12/31/2025,TDW2300,2
12/31/2025,TDW3670,3
12/31/2025,TDWFP020,4
12/31/2025,TDWFP008,7
12/31/2025,TDWFP007,10
12/31/2025,TDW2300,4
12/31/2025,TDWM001,4
12/31/2025,TD527030U,8
12/31/2025,TDWFP011,9
12/31/2025,TDWFP019,5
12/31/2025,TD578060U,1
