,Day,SKU,Qty
0,05/15/2024,TDWG001,500
1,06/05/2024,TD760030U,10000
2,06/10/2024,TDWFP024,500
3,06/16/2024,TD250120U,10000
4,06/17/2024,TDWFP014,10000
5,06/24/2024,TD918060U,1000
6,06/24/2024,TD128090U,500
7,07/15/2024,TDWFP005,1000
8,07/27/2024,TDW2300,500
9,08/08/2024,TDWM001,5000
10,08/10/2024,TDWFP003,500
11,08/12/2024,TD482060U,1000
12,08/12/2024,TD525060U,1000
13,08/13/2024,TDWFP003,5000
14,08/16/2024,TD718060U,1000
15,08/18/2024,TDWFP007,10000
16,08/21/2024,TD523120U,1000
17,08/22/2024,TDW4680,500
18,08/23/2024,TDWFP007,5000
19,09/05/2024,TDWFP008,500
20,09/10/2024,TD523120U,1000
21,09/13/2024,TDWFP020,1000
22,09/19/2024,TDWFP002,10000
23,09/21/2024,TD718060U,500
24,09/25/2024,TDWFP017,1000
25,09/30/2024,TD485060U,1000
26,10/07/2024,TDWFP019,10000
27,10/10/2024,TD440060U,10000
28,10/11/2024,TD918060U,10000
29,10/12/2024,TD529060U,5000
30,10/20/2024,TD524120U,5000
31,10/26/2024,TDWFP009,10000
32,10/31/2024,TD524120U,5000
33,11/02/2024,TDWB003,1000
34,11/14/2024,TDW0910,10000
35,11/18/2024,TDWFP006,5000
36,11/20/2024,TD125030U,1000
37,11/21/2024,TDWFP008,10000
38,11/23/2024,T172060U,10000
39,12/04/2024,TDWFP016,10000
40,12/05/2024,TD128090U,1000
41,12/13/2024,TD559060U,10000
42,12/13/2024,TDWFP024,1000
43,12/14/2024,TDWFP015,500
44,12/15/2024,TDWB018,5000
45,12/18/2024,TD250120U,500
46,12/25/2024,TD266060U,1000
47,12/27/2024,TDWG001,5000
48,12/29/2024,TD360060U,1000
49,01/04/2025,TD578060U,5000
50,01/05/2025,TDWFP001,1000
51,01/18/2025,TD760030U,10000
52,01/28/2025,TDWB004,5000
53,01/29/2025,TDWFP001,500
54,02/02/2025,TDWFP006,5000
55,02/06/2025,TDWFP012,10000
56,02/08/2025,TD145060U,5000
57,02/09/2025,TDWFP010,1000
58,02/13/2025,TD527030U,500
59,02/19/2025,TDWFP012,500
60,02/21/2025,TDWFP004,500
61,02/25/2025,TDWFP016,1000
62,03/03/2025,TDWG002,500
63,03/12/2025,TDW0910,500
64,03/13/2025,TD125060U,1000
65,03/16/2025,GYGR002,500
66,03/16/2025,TDWFP022,1000
67,03/17/2025,TDWFP005,10000
68,03/17/2025,TDWB003,1000
69,03/23/2025,TDWFP012.1,500
70,03/27/2025,TDWFP014,5000
71,03/27/2025,TDW2075,10000
72,03/28/2025,TD485060U,500
73,04/07/2025,TDWM001,1000
74,04/07/2025,TDWFP021,500
75,04/18/2025,TD250060U,5000
76,04/26/2025,TD250060U,500
77,04/28/2025,TDWFP004,500
78,05/18/2025,TDWFP015,500
79,05/22/2025,TDWG003,5000
80,05/23/2025,TD145060U,10000
81,05/27/2025,TD635060U,5000
82,05/29/2025,TDWFP022,10000
83,05/31/2025,TD266060U,5000
84,06/09/2025,TD440060U,10000
85,06/12/2025,TDWFP011,1000
86,06/16/2025,GYGR001,5000
87,06/16/2025,TDWG002,1000
88,06/22/2025,TDW3670,5000
89,06/29/2025,TDWB004,1000
90,07/04/2025,GYGR001,10000
91,07/08/2025,TDW2300,5000
92,07/24/2025,TDWFP020,10000
93,07/25/2025,TDWFP010,500
94,08/05/2025,TD529060U,1000
95,08/08/2025,TDW4680,5000
96,08/08/2025,TDWFP021,10000
97,08/11/2025,TDWFP023,1000
98,08/16/2025,GYGR002,5000
99,08/26/2025,TDWFP012.1,10000
100,09/08/2025,TDWG003,10000
101,09/13/2025,TDWFP011,10000
102,09/27/2025,TDWFP009,1000
103,09/30/2025,TDWFP019.1,10000
104,10/01/2025,T172060U,1000
105,10/08/2025,TDW2075,500
106,10/08/2025,TD482060U,5000
107,10/16/2025,TDWFP019,1000
108,10/18/2025,TDWB018,5000
109,10/26/2025,TDWFP023,1000
110,10/27/2025,TD125030U,500
111,10/29/2025,TDW3670,10000
112,10/29/2025,TD360060U,500
113,10/31/2025,TD559060U,1000
114,11/06/2025,TDWB019,5000
115,11/18/2025,TDWFP002,5000
116,11/18/2025,TD527030U,500
117,11/22/2025,TD635060U,10000
118,12/01/2025,TD125060U,5000
119,12/09/2025,TDWB019,500
120,12/12/2025,TD578060U,10000
121,12/12/2025,TDWFP017,1000
122,12/17/2025,TD525060U,10000
123,12/24/2025,TDWFP019.1,1000
124,02/03/2026,TD918060U,500
125,03/02/2026,TDW2300,1000
126,03/29/2026,TD485060U,500
127,06/16/2026,TD250060U,5000
128,09/13/2026,TD250060U,500
129,09/20/2026,TDWG002,500
130,10/17/2026,TDWFP009,5000
131,11/03/2026,TDWFP016,10000
132,11/08/2026,TD524120U,10000
133,12/31/2026,TDWFP007,500
134,02/13/2027,TD266060U,1000
135,02/18/2027,TDWFP021,5000
136,02/20/2027,TD440060U,1000
137,03/11/2027,TD360060U,500
138,04/29/2027,TDWFP019,5000
