,SKU,From,To,Price
0,TD125060U,-,-,43.0
1,TD360060U,-,3700.0,25.0
2,TD360060U,3700.0,-,22.32
3,TDW4680,-,1100.0,1.0
4,TDW4680,1100.0,2000.0,0.89
5,TDW4680,2000.0,3150.0,0.8
6,TDW4680,3150.0,-,0.71
7,TD250120U,-,38000.0,34.0
8,TD250120U,38000.0,-,30.36
9,T172060U,-,3500.0,7.0
10,T172060U,3500.0,3750.0,6.25
11,T172060U,3750.0,4400.0,5.58
12,T172060U,4400.0,-,4.98
13,TD250060U,-,-,29.0
14,TDWFP003,-,13000.0,9.0
15,TDWFP003,13000.0,42000.0,8.04
16,TDWFP003,42000.0,-,7.17
17,TDWFP010,-,1150.0,30.0
18,TDWFP010,1150.0,4850.0,26.79
19,TDWFP010,4850.0,-,23.92
20,TDWFP020,-,-,28.0
21,TDW0910,-,6300.0,13.0
22,TDW0910,6300.0,7800.0,11.61
23,TDW0910,7800.0,-,10.36
24,TDWFP002,-,13250.0,23.0
25,TDWFP002,13250.0,20250.0,20.54
26,TDWFP002,20250.0,-,18.34
27,TDWFP008,-,1600.0,12.0
28,TDWFP008,1600.0,-,10.71
29,TDWFP011,-,-,14.0
30,TDWB003,-,2500.0,-
31,TDWB003,2500.0,-,-
32,TDWFP016,-,9000.0,20.0
33,TDWFP016,9000.0,13000.0,17.86
34,TDWFP016,13000.0,-,15.94
35,TDWFP012,-,-,32.0
36,TDWFP019.1,-,94000.0,-
37,TDWFP019.1,94000.0,-,-
38,TDWFP021,-,15500.0,8.0
39,TDWFP021,15500.0,-,7.14
40,GYGR002,-,1600.0,-
41,GYGR002,1600.0,4450.0,-
42,GYGR002,4450.0,-,-
43,TDW2300,-,31000.0,9.0
44,TDW2300,31000.0,41000.0,8.04
45,TDW2300,41000.0,-,7.17
46,TD524120U,-,2000.0,-
47,TD524120U,2000.0,17000.0,-
48,TD524120U,17000.0,54000.0,-
49,TD524120U,54000.0,-,-
50,TD527030U,-,-,10.0
51,TDWFP015,-,9000.0,39.0
52,TDWFP015,9000.0,-,34.82
53,TD482060U,-,15000.0,-
54,TD482060U,15000.0,-,-
55,TDW2075,-,1500.0,4.0
56,TDW2075,1500.0,4250.0,3.57
57,TDW2075,4250.0,-,3.19
58,TDWFP024,-,37000.0,1.0
59,TDWFP024,37000.0,91000.0,0.89
60,TDWFP024,91000.0,98000.0,0.8
61,TDWFP024,98000.0,-,0.71
62,TD760030U,-,12500.0,-
63,TD760030U,12500.0,39500.0,-
64,TD760030U,39500.0,45000.0,-
65,TD760030U,45000.0,-,-
66,TDWFP001,-,3700.0,11.0
67,TDWFP001,3700.0,-,9.82
68,TD266060U,-,3500.0,-
69,TD266060U,3500.0,-,-
70,TDWFP004,-,-,37.0
71,TDWFP007,-,500.0,7.0
72,TDWFP007,500.0,21500.0,6.25
73,TDWFP007,21500.0,-,5.58
74,GYGR001,-,900.0,-
75,GYGR001,900.0,6400.0,-
76,GYGR001,6400.0,8900.0,-
77,GYGR001,8900.0,-,-
78,TD529060U,-,10500.0,-
79,TD529060U,10500.0,-,-
80,TD440060U,-,-,29.0
81,TDWFP006,-,-,9.0
82,TDW3670,-,2750.0,15.0
83,TDW3670,2750.0,4250.0,13.39
84,TDW3670,4250.0,-,11.96
85,TDWM001,-,59000.0,-
86,TDWM001,59000.0,-,-
87,TDWFP019,-,3200.0,2.0
88,TDWFP019,3200.0,6400.0,1.79
89,TDWFP019,6400.0,-,1.59
90,TD578060U,-,1750.0,-
91,TD578060U,1750.0,-,-
92,TD525060U,-,3550.0,-
93,TD525060U,3550.0,3650.0,-
94,TD525060U,3650.0,4450.0,-
95,TD525060U,4450.0,-,-
96,TD718060U,-,43000.0,-
97,TD718060U,43000.0,84000.0,-
98,TD718060U,84000.0,98000.0,-
99,TD718060U,98000.0,-,-
100,TDWFP009,-,1500.0,5.0
101,TDWFP009,1500.0,2450.0,4.46
102,TDWFP009,2450.0,-,3.99
103,TD559060U,-,1400.0,-
104,TD559060U,1400.0,6800.0,-
105,TD559060U,6800.0,9800.0,-
106,TD559060U,9800.0,-,-
107,TD125030U,-,8100.0,3.0
108,TD125030U,8100.0,-,2.68
109,TD523120U,-,18000.0,-
110,TD523120U,18000.0,26000.0,-
111,TD523120U,26000.0,-,-
112,TDWFP022,-,1500.0,7.0
113,TDWFP022,1500.0,-,6.25
114,TDWFP012.1,-,-,-
115,TD918060U,-,-,-
116,TD145060U,-,-,-
117,TDWB004,-,1500.0,-
118,TDWB004,1500.0,-,-
119,TD635060U,-,250.0,-
120,TD635060U,250.0,900.0,-
121,TD635060U,900.0,4100.0,-
122,TD635060U,4100.0,-,-
123,TDWFP005,-,19500.0,-
124,TDWFP005,19500.0,-,-
125,TD128090U,-,-,-
126,TDWFP014,-,1200.0,22.0
127,TDWFP014,1200.0,1250.0,19.64
128,TDWFP014,1250.0,3100.0,17.54
129,TDWFP014,3100.0,-,15.66
130,TDWFP017,-,36000.0,-
131,TDWFP017,36000.0,-,-
132,TDWB018,-,6000.0,-
133,TDWB018,6000.0,15500.0,-
134,TDWB018,15500.0,26500.0,-
135,TDWB018,26500.0,-,-
136,TDWG001,-,8000.0,-
137,TDWG001,8000.0,-,-
138,TDWFP023,-,3000.0,7.0
139,TDWFP023,3000.0,13000.0,6.25
140,TDWFP023,13000.0,22000.0,5.58
141,TDWFP023,22000.0,-,4.98
142,TDWB019,-,-,-
143,TDWG002,-,2000.0,-
144,TDWG002,2000.0,-,-
145,TD485060U,-,2800.0,-
146,TD485060U,2800.0,3300.0,-
147,TD485060U,3300.0,3600.0,-
148,TD485060U,3600.0,-,-
149,TDWG003,-,22500.0,-
150,TDWG003,22500.0,40500.0,-
151,TDWG003,40500.0,-,-
