SKU,Category,Stockout,MOQ,MOQ_pallets,Units_per_pallet,Freshness_window,Predicted_units_sold,Predicted_pallets_sold,Final_pallets,Final_units,Fullfillment_date,Status
TDWFP003,AX,03/12/2026,5000,6,960,1095,407014.8904951824,423.97,167.0,160320.0,03/12/2026,Normal
TDWFP007,AX,03/22/2026,5000,18,288,365,15832.237142239057,54.97,18.0,5184.0,03/22/2026,Normal
TDWFP008,AX,03/24/2026,1000,2,600,730,53479.22811059922,89.13,6.0,3600.0,03/24/2026,Normal
TDWFP001,AX,05/01/2026,1000,3,432,1095,195485.4137832772,452.51,250.0,108000.0,05/01/2026,Normal
TDWFP010,AX,05/01/2026,500,2,384,365,61685.753818405356,160.64,0.0,0.0,,BlockedByWarehouse
TDWFP024,AX,05/01/2026,10000,20,510,548,4931.689440993781,9.67,0.0,0.0,,BlockedByWarehouse
TDW0910,AX,05/11/2026,1000,3,336,365,5590.190766456544,16.64,0.0,0.0,,BlockedByWarehouse
TD250060U,AX,05/21/2026,10000,9,1248,365,27059.465114127874,21.68,0.0,0.0,,BlockedByWarehouse
TDW4680,AY,03/13/2026,500,4,150,365,24279.95942696574,161.87,4.0,600.0,03/13/2026,Normal
TDWFP002,AY,03/27/2026,2500,3,1183,548,65686.21598877972,55.53,3.0,3549.0,03/27/2026,Reallocated
TDWFP022,AY,,1000,1,1152,365,,,0.0,0.0,,StockoutNotFound
TD125030U,BX,03/21/2026,1000,4,275,1095,42695.768537212,155.26,11.0,3025.0,03/21/2026,Normal
TD250120U,BX,04/06/2026,10000,23,448,365,11849.204105851855,26.45,23.0,10304.0,04/06/2026,Reallocated
TDW2075,BX,04/08/2026,2500,4,660,730,14732.182621025471,22.32,0.0,0.0,,BlockedByWarehouse
TD360060U,BX,04/18/2026,500,1,1350,548,3348.45415594229,2.48,0.0,0.0,,BlockedByWarehouse
TDWFP015,BX,04/24/2026,10000,13,780,730,65205.66107454711,83.6,40.0,31200.0,04/24/2026,Normal
TDWFP011,BX,04/26/2026,10000,6,1872,1095,127775.59607293803,68.26,6.0,11232.0,04/26/2026,Reallocated
TDWFP020,BX,,500,1,1152,548,,,0.0,0.0,,StockoutNotFound
TDWFP021,BY,05/31/2026,2500,4,680,1095,906.3215557235744,1.33,0.0,0.0,,BlockedByWarehouse
TDWFP014,BY,,500,1,660,548,,,0.0,0.0,,StockoutNotFound
TD125060U,CX,03/17/2026,500,1,912,548,10254.799346515993,11.24,5.0,4560.0,03/17/2026,Normal
TD440060U,CX,03/30/2026,1000,1,1120,1095,30087.15988779923,26.86,0.0,0.0,,BlockedByWarehouse
TDWFP019,CX,03/30/2026,1000,1,2295,548,13130.04258434406,5.72,1.0,2295.0,03/30/2026,Reallocated
TDWFP009,CX,04/01/2026,500,1,1470,548,9448.394833777871,6.43,1.0,1470.0,04/01/2026,Reallocated
T172060U,CX,04/03/2026,500,2,360,1095,25091.537767983056,69.7,2.0,720.0,04/03/2026,Reallocated
TDWFP006,CX,04/11/2026,5000,6,980,548,20750.234992215403,21.17,0.0,0.0,,BlockedByWarehouse
TD527030U,CX,04/17/2026,2500,2,1344,365,2404.005671747762,1.79,3.0,4032.0,04/23/2026,PostponedCapacity
TDWFP012,CX,04/21/2026,1000,2,800,1095,15850.48067290376,19.81,0.0,0.0,,BlockedByWarehouse
TDW2300,CX,07/10/2026,5000,16,330,548,9238.87560686163,28.0,0.0,0.0,,BlockedByWarehouse
TDWFP016,CX,07/27/2026,5000,6,880,548,377.1102908312023,0.43,0.0,0.0,,BlockedByWarehouse
TDWFP004,CX,08/01/2026,500,2,360,1095,97.9803646563123,0.27,0.0,0.0,,BlockedByWarehouse
TDW3670,CY,03/05/2026,500,2,420,548,24515.510534349123,58.37,58.37,24515.399999999998,03/05/2026,Normal
TDWFP023,CY,04/10/2026,5000,2,2850,548,4748.661315495956,1.67,0.0,0.0,,BlockedByWarehouse
